scen;sero;prevented_imd;q025_imd;q975_imd;prevented_sequelae;q025_sequelae;q975_sequelae;prevented_fatalities;q025_fatalities;q975_fatalities
scen_2;C;51,2;40,0;67,8;21,7;17,0;28,8;6,0;4,7;7,9
scen_2;AWY;-0,3;-0,4;-0,2;-0,1;-0,2;-0,1;0,0;0,0;0,0
scen_2;Other/B;-0,5;-0,7;-0,3;-0,2;-0,3;-0,1;0,0;-0,1;0,0
scen_3;C;24,6;19,3;32,4;10,3;8,1;13,6;2,7;2,1;3,6
scen_3;AWY;66,0;56,6;85,1;26,5;22,7;34,1;5,3;4,6;6,9
scen_3;Other/B;-13,8;-18,0;-10,3;-5,5;-7,2;-4,1;-1,1;-1,4;-0,8
scen_4;C;81,4;62,3;106,7;34,7;26,5;45,5;9,7;7,4;12,8
scen_4;AWY;-0,7;-0,9;-0,5;-0,3;-0,4;-0,2;-0,1;-0,1;0,0
scen_4;Other/B;-1,1;-1,5;-0,7;-0,5;-0,6;-0,3;-0,1;-0,1;-0,1
scen_5;C;31,0;22,8;40,7;13,1;9,6;17,2;3,6;2,6;4,7
scen_5;AWY;92,6;81,1;114,8;37,4;32,8;46,3;7,9;6,9;9,7
scen_5;Other/B;-40,3;-49,0;-32,7;-16,1;-19,6;-13,1;-3,3;-3,9;-2,6
