scen;type;prev;prev_q025;prev_q975;nnv;nnv_q025;nnv_q975
scen_2;imd;51;40;67;140,000;100,000;170,000
scen_2;sequelae;22;17;29;320,000;240,000;410,000
scen_2;fatalities;6;5;8;1,200,000;880,000;1,500,000
scen_3;imd;91;80;110;77,000;64,000;87,000
scen_3;sequelae;37;32;44;190,000;160,000;210,000
scen_3;fatalities;8;7;10;860,000;730,000;980,000
scen_4;imd;81;62;110;83,000;63,000;110,000
scen_4;sequelae;34;26;45;190,000;150,000;250,000
scen_4;fatalities;10;7;13;690,000;530,000;910,000
scen_5;imd;120;110;140;54,000;46,000;61,000
scen_5;sequelae;50;45;59;130,000;110,000;150,000
scen_5;fatalities;11;10;13;580,000;510,000;660,000
