scen;type;prev;prev_q025;prev_q975;nnv;nnv_q025;nnv_q975
scen_2;imd;50;39;67;140,000;100,000;180,000
scen_2;sequelae;21;17;28;330,000;250,000;420,000
scen_2;fatalities;6;5;8;1,200,000;890,000;1,500,000
scen_3;imd;77;67;91;91,000;76,000;100,000
scen_3;sequelae;31;27;37;220,000;190,000;260,000
scen_3;fatalities;7;6;8;1,000,000;840,000;1,200,000
scen_4;imd;80;61;100;84,000;64,000;110,000
scen_4;sequelae;34;26;44;200,000;150,000;260,000
scen_4;fatalities;10;7;13;700,000;530,000;910,000
scen_5;imd;83;71;100;80,000;67,000;93,000
scen_5;sequelae;34;29;41;190,000;160,000;230,000
scen_5;fatalities;8;7;10;810,000;680,000;950,000
